Flight_Date,Flight_Number,Airline,Origin,Destination,Delay_Minutes,Cancelled,Delay_Reason
5/3/2024,AI5039,SpiceJet,MAA,MAA,241,No,Operational
4/19/2021,AI4993,IndiGo,MAA,BOM,46,No,Operational
12/18/2022,AI7243,IndiGo,MAA,CCU,83,No,Crew
5/25/2021,AI4806,GoAir,CCU,BOM,249,No,Crew
9/1/2024,AI5120,IndiGo,BOM,HYD,158,No,Technical
2/8/2024,AI7797,SpiceJet,BOM,DEL,24,No,Crew
11/30/2021,AI8565,Vistara,PNQ,HYD,290,No,Air Traffic
9/2/2022,AI2172,Vistara,PNQ,CCU,216,No,Technical
12/11/2024,AI3955,GoAir,CCU,MAA,162,No,Late Arrival
7/8/2020,AI1097,AirAsia India,DEL,BOM,111,No,Crew
8/15/2022,AI9882,SpiceJet,PNQ,DEL,67,No,Air Traffic
11/17/2021,AI2117,SpiceJet,HYD,HYD,125,No,Crew
8/15/2022,AI5294,IndiGo,MAA,CCU,58,No,Crew
7/16/2021,AI6822,SpiceJet,HYD,HYD,221,No,Technical
5/9/2024,AI736,Air India,MAA,BOM,236,No,Technical
6/21/2023,AI8225,AirAsia India,HYD,BOM,276,No,Weather
4/11/2022,AI7832,IndiGo,DEL,MAA,33,No,Technical
3/8/2024,AI1902,Air India,HYD,DEL,8,No,Technical
2/28/2023,AI6422,GoAir,HYD,BLR,1,No,Operational
2/17/2024,AI1595,Vistara,BLR,HYD,247,No,Crew
10/8/2021,AI957,GoAir,HYD,BOM,122,No,Technical
1/21/2020,AI5508,Vistara,BLR,CCU,36,No,Crew
4/20/2022,AI2814,GoAir,BOM,HYD,209,No,Crew
6/15/2020,AI3548,SpiceJet,CCU,MAA,291,No,Operational
7/21/2023,AI9403,Air India,HYD,MAA,200,No,Crew
1/22/2021,AI6832,Vistara,BOM,BOM,277,No,Air Traffic
8/23/2021,AI1162,IndiGo,PNQ,BOM,51,No,Technical
11/11/2020,AI4001,Air India,PNQ,BOM,155,No,Crew
1/14/2020,AI5146,IndiGo,BLR,PNQ,84,No,Weather
8/29/2020,AI1627,Air India,HYD,BLR,,Yes,
2/15/2022,AI3104,Air India,HYD,BOM,84,No,Weather
10/1/2023,AI7400,GoAir,DEL,HYD,216,No,Operational
7/18/2021,AI821,Vistara,BOM,HYD,267,No,Air Traffic
6/16/2022,AI7628,Vistara,MAA,PNQ,101,No,Technical
9/25/2023,AI7042,Air India,MAA,PNQ,137,No,Operational
4/1/2020,AI1614,SpiceJet,DEL,DEL,48,No,Weather
10/22/2023,AI7844,SpiceJet,BLR,CCU,66,No,Air Traffic
8/13/2022,AI8998,IndiGo,MAA,BOM,,Yes,
1/18/2024,AI5783,IndiGo,MAA,HYD,154,No,Technical
12/22/2023,AI8026,GoAir,PNQ,PNQ,239,No,Crew
5/23/2021,AI5445,Air India,PNQ,HYD,263,No,Technical
2/14/2022,AI8671,IndiGo,CCU,HYD,249,No,Late Arrival
2/4/2020,AI4971,IndiGo,BOM,PNQ,242,No,Technical
7/24/2020,AI7467,AirAsia India,BLR,BLR,293,No,Crew
1/9/2023,AI7562,Air India,HYD,PNQ,172,No,Late Arrival
5/4/2024,AI613,GoAir,BOM,PNQ,57,No,Air Traffic
11/12/2023,AI487,IndiGo,BLR,CCU,97,No,Operational
10/22/2022,AI5222,GoAir,MAA,PNQ,60,No,Air Traffic
10/18/2022,AI7318,Vistara,CCU,MAA,58,No,Technical
11/14/2023,AI5998,GoAir,BOM,PNQ,61,No,Operational
7/19/2021,AI1837,SpiceJet,MAA,HYD,203,No,Technical
2/3/2023,AI3534,SpiceJet,BLR,BOM,276,No,Weather
11/30/2024,AI2166,GoAir,BOM,HYD,132,No,Weather
2/9/2024,AI7624,SpiceJet,HYD,CCU,255,No,Crew
12/3/2021,AI7636,Vistara,BOM,MAA,,Yes,
2/5/2021,AI9121,Air India,MAA,PNQ,279,No,Air Traffic
12/30/2021,AI986,SpiceJet,BOM,BLR,220,No,Weather
4/28/2024,AI6192,SpiceJet,HYD,DEL,117,No,Late Arrival
6/10/2020,AI2620,GoAir,CCU,PNQ,195,No,Late Arrival
7/20/2020,AI2775,Vistara,CCU,BOM,151,No,Technical
9/22/2022,AI1041,Air India,MAA,DEL,227,No,Operational
9/26/2020,AI9467,GoAir,BLR,BLR,155,No,Late Arrival
3/26/2022,AI8597,GoAir,MAA,CCU,198,No,Technical
7/18/2023,AI2865,AirAsia India,CCU,CCU,48,No,Operational
3/31/2021,AI5420,Vistara,DEL,BLR,291,No,Weather
1/25/2024,AI8302,Air India,DEL,HYD,47,No,Technical
10/16/2024,AI8794,Vistara,BOM,BLR,,Yes,
6/29/2023,AI3848,Air India,HYD,PNQ,,Yes,
10/13/2022,AI6156,Vistara,PNQ,BOM,140,No,Operational
9/21/2024,AI9871,GoAir,PNQ,MAA,220,No,Crew
10/22/2020,AI2640,GoAir,PNQ,PNQ,15,No,Air Traffic
10/14/2024,AI9515,IndiGo,BOM,PNQ,281,No,Air Traffic
12/20/2021,AI5686,SpiceJet,DEL,PNQ,,Yes,
11/7/2024,AI2789,AirAsia India,CCU,DEL,29,No,Crew
12/3/2020,AI2936,Vistara,BOM,DEL,204,No,Late Arrival
5/28/2022,AI998,AirAsia India,PNQ,CCU,108,No,Air Traffic
12/12/2022,AI814,IndiGo,PNQ,PNQ,16,No,Operational
3/2/2022,AI1810,SpiceJet,MAA,HYD,130,No,Crew
8/4/2020,AI1202,Vistara,PNQ,CCU,27,No,Late Arrival
2/2/2022,AI7104,Air India,HYD,BOM,276,No,Technical
7/6/2020,AI6627,SpiceJet,PNQ,BLR,149,No,Technical
1/14/2021,AI6172,GoAir,MAA,DEL,190,No,Operational
5/7/2021,AI9948,IndiGo,PNQ,PNQ,147,No,Operational
11/30/2022,AI4153,SpiceJet,HYD,BOM,126,No,Operational
3/26/2023,AI3427,SpiceJet,CCU,CCU,183,No,Air Traffic
1/15/2020,AI9678,GoAir,BOM,CCU,151,No,Operational
3/5/2020,AI1278,Vistara,HYD,DEL,68,No,Crew
6/4/2021,AI5268,Air India,MAA,CCU,55,No,Crew
9/29/2023,AI6568,GoAir,BOM,HYD,7,No,Late Arrival
2/26/2023,AI5699,Air India,BOM,CCU,262,No,Crew
10/9/2021,AI279,Vistara,MAA,MAA,262,No,Air Traffic
2/4/2024,AI4745,SpiceJet,DEL,BLR,238,No,Technical
12/22/2022,AI2050,Air India,PNQ,CCU,300,No,Late Arrival
3/8/2023,AI616,IndiGo,HYD,MAA,177,No,Crew
3/2/2024,AI3384,IndiGo,MAA,BOM,178,No,Operational
8/15/2021,AI5801,GoAir,CCU,CCU,195,No,Crew
1/26/2021,AI1002,Vistara,BLR,HYD,246,No,Weather
8/25/2024,AI2554,GoAir,MAA,BOM,80,No,Late Arrival
2/22/2021,AI1945,GoAir,PNQ,PNQ,17,No,Air Traffic
10/15/2020,AI6267,AirAsia India,PNQ,CCU,188,No,Crew
1/13/2021,AI6699,GoAir,BOM,DEL,139,No,Crew
12/1/2024,AI9625,AirAsia India,BOM,MAA,64,No,Air Traffic
2/22/2024,AI834,IndiGo,MAA,MAA,30,No,Technical
8/18/2020,AI5101,IndiGo,BLR,DEL,112,No,Operational
10/14/2022,AI725,GoAir,MAA,BLR,,Yes,
2/10/2020,AI3574,IndiGo,BLR,PNQ,104,No,Operational
11/17/2022,AI3717,Vistara,BLR,HYD,129,No,Technical
5/14/2020,AI7230,AirAsia India,PNQ,MAA,178,No,Technical
7/19/2020,AI6380,AirAsia India,PNQ,BOM,49,No,Weather
2/18/2022,AI9164,GoAir,PNQ,HYD,,Yes,
7/18/2022,AI1543,IndiGo,CCU,MAA,5,No,Air Traffic
11/22/2022,AI8510,Air India,PNQ,PNQ,222,No,Late Arrival
12/7/2022,AI5168,AirAsia India,HYD,BLR,,Yes,
5/17/2021,AI8067,GoAir,BOM,PNQ,169,No,Operational
2/10/2021,AI9080,GoAir,BOM,BOM,266,No,Technical
5/16/2024,AI1095,Vistara,BLR,PNQ,77,No,Technical
10/17/2024,AI694,SpiceJet,BOM,HYD,11,No,Air Traffic
3/15/2022,AI1918,SpiceJet,DEL,BOM,19,No,Late Arrival
4/8/2020,AI1306,AirAsia India,BLR,DEL,257,No,Technical
11/14/2021,AI6526,Vistara,BOM,CCU,182,No,Weather
12/26/2021,AI4090,Vistara,DEL,DEL,140,No,Late Arrival
4/19/2024,AI1464,Vistara,CCU,HYD,,Yes,
8/18/2022,AI3921,AirAsia India,BOM,CCU,130,No,Weather
10/28/2024,AI8344,SpiceJet,DEL,DEL,132,No,Crew
9/4/2021,AI7985,Vistara,MAA,CCU,242,No,Operational
1/25/2024,AI5743,IndiGo,HYD,MAA,17,No,Technical
10/4/2021,AI7800,GoAir,MAA,PNQ,102,No,Late Arrival
11/27/2024,AI2777,GoAir,DEL,BOM,110,No,Weather
10/25/2022,AI3215,Air India,BLR,CCU,248,No,Operational
5/26/2023,AI8061,Air India,PNQ,MAA,1,No,Operational
5/17/2021,AI1175,AirAsia India,PNQ,PNQ,10,No,Technical
2/5/2022,AI7184,AirAsia India,PNQ,PNQ,298,No,Operational
2/1/2021,AI4827,GoAir,BLR,BLR,0,No,
5/20/2022,AI4804,IndiGo,BOM,DEL,64,No,Technical
3/5/2022,AI3186,SpiceJet,PNQ,BLR,18,No,Crew
1/27/2021,AI1515,SpiceJet,MAA,HYD,41,No,Technical
7/25/2020,AI5308,AirAsia India,BLR,MAA,,Yes,
11/4/2022,AI853,IndiGo,BLR,BLR,152,No,Air Traffic
4/26/2024,AI5793,AirAsia India,PNQ,BLR,49,No,Weather
6/10/2022,AI7811,SpiceJet,MAA,PNQ,292,No,Air Traffic
1/24/2024,AI4318,AirAsia India,CCU,MAA,247,No,Operational
9/10/2024,AI7284,Vistara,BLR,PNQ,48,No,Operational
5/17/2024,AI5092,AirAsia India,PNQ,BOM,,Yes,
5/13/2022,AI7956,GoAir,HYD,CCU,72,No,Operational
1/12/2022,AI8863,AirAsia India,DEL,HYD,17,No,Technical
6/18/2023,AI7585,GoAir,BOM,HYD,107,No,Late Arrival
7/17/2021,AI2338,IndiGo,BLR,DEL,290,No,Technical
10/17/2022,AI4551,SpiceJet,HYD,PNQ,191,No,Weather
4/5/2020,AI8870,Air India,HYD,CCU,125,No,Technical
10/23/2024,AI3275,Air India,BLR,DEL,269,No,Operational
4/29/2021,AI4961,SpiceJet,CCU,HYD,280,No,Crew
12/1/2023,AI4199,Air India,DEL,CCU,65,No,Weather
8/18/2020,AI8163,AirAsia India,BOM,BLR,19,No,Air Traffic
1/18/2022,AI7658,IndiGo,BLR,BOM,65,No,Crew
8/5/2024,AI4840,IndiGo,BOM,BLR,232,No,Weather
4/9/2023,AI530,SpiceJet,MAA,BOM,36,No,Weather
6/24/2021,AI4195,Air India,HYD,PNQ,174,No,Operational
11/25/2022,AI1942,AirAsia India,HYD,MAA,,Yes,
6/8/2021,AI294,IndiGo,BLR,DEL,8,No,Air Traffic
3/29/2023,AI7223,IndiGo,BLR,DEL,134,No,Technical
9/18/2024,AI1735,Vistara,MAA,MAA,229,No,Air Traffic
6/20/2023,AI546,Vistara,CCU,CCU,229,No,Operational
1/14/2023,AI4692,IndiGo,BLR,MAA,293,No,Operational
12/24/2024,AI9152,SpiceJet,HYD,PNQ,209,No,Operational
7/31/2021,AI4680,GoAir,BOM,HYD,105,No,Crew
11/12/2021,AI7389,GoAir,DEL,MAA,164,No,Air Traffic
7/10/2021,AI2844,AirAsia India,PNQ,BOM,293,No,Air Traffic
5/16/2024,AI422,IndiGo,BOM,HYD,269,No,Weather
10/9/2022,AI9664,IndiGo,CCU,MAA,91,No,Late Arrival
10/7/2021,AI7320,IndiGo,DEL,DEL,20,No,Technical
3/6/2022,AI9973,SpiceJet,BOM,BLR,297,No,Operational
11/17/2022,AI3114,Vistara,BOM,BOM,142,No,Air Traffic
7/1/2024,AI3550,IndiGo,MAA,PNQ,76,No,Air Traffic
4/28/2024,AI5262,IndiGo,PNQ,BOM,249,No,Weather
9/25/2023,AI8788,Air India,CCU,CCU,116,No,Technical
12/26/2024,AI2939,SpiceJet,HYD,BLR,189,No,Late Arrival
9/16/2023,AI6236,AirAsia India,MAA,BOM,,Yes,
7/21/2024,AI1247,IndiGo,DEL,MAA,137,No,Late Arrival
3/9/2024,AI6241,Air India,PNQ,BOM,102,No,Operational
10/3/2023,AI7870,GoAir,HYD,BOM,,Yes,
2/5/2024,AI2052,AirAsia India,MAA,BOM,214,No,Late Arrival
6/8/2023,AI843,IndiGo,PNQ,CCU,286,No,Late Arrival
7/8/2020,AI1985,IndiGo,CCU,BOM,246,No,Technical
6/2/2023,AI1658,Air India,BLR,BOM,74,No,Technical
11/9/2023,AI638,SpiceJet,BLR,CCU,163,No,Operational
11/1/2023,AI7157,IndiGo,DEL,HYD,112,No,Air Traffic
7/30/2023,AI1007,GoAir,BLR,BLR,24,No,Weather
9/24/2021,AI1050,IndiGo,MAA,PNQ,217,No,Operational
9/19/2021,AI1956,GoAir,DEL,HYD,264,No,Crew
8/30/2022,AI7469,AirAsia India,HYD,DEL,219,No,Late Arrival
11/3/2024,AI5051,AirAsia India,CCU,CCU,156,No,Weather
7/6/2023,AI9837,Vistara,DEL,CCU,135,No,Air Traffic
10/14/2023,AI2271,Vistara,HYD,BOM,10,No,Air Traffic
12/10/2021,AI1897,GoAir,DEL,BOM,156,No,Technical
1/19/2024,AI9260,SpiceJet,BOM,PNQ,184,No,Crew
12/5/2023,AI3572,IndiGo,BOM,DEL,261,No,Air Traffic
10/10/2021,AI3805,IndiGo,DEL,BOM,69,No,Crew
11/13/2020,AI3775,Vistara,PNQ,MAA,142,No,Late Arrival
8/27/2024,AI3887,GoAir,BLR,BOM,28,No,Technical
6/2/2023,AI3114,IndiGo,BOM,BOM,82,No,Weather
6/11/2023,AI400,IndiGo,PNQ,MAA,45,No,Technical
11/14/2021,AI408,SpiceJet,PNQ,DEL,106,No,Late Arrival
10/25/2021,AI8654,Air India,CCU,MAA,83,No,Air Traffic
10/29/2023,AI5339,Vistara,HYD,CCU,44,No,Crew
8/22/2024,AI2214,Vistara,MAA,MAA,84,No,Late Arrival
6/19/2024,AI8298,Air India,BOM,BLR,273,No,Air Traffic
2/4/2024,AI2841,IndiGo,DEL,CCU,275,No,Operational
6/10/2023,AI9122,SpiceJet,BLR,BOM,203,No,Crew
9/11/2024,AI3052,SpiceJet,MAA,PNQ,192,No,Late Arrival
2/10/2023,AI1272,Vistara,HYD,CCU,26,No,Weather
2/29/2024,AI2616,SpiceJet,PNQ,DEL,297,No,Weather
3/17/2021,AI3343,AirAsia India,HYD,DEL,16,No,Air Traffic
7/17/2021,AI7888,Air India,BOM,MAA,130,No,Air Traffic
7/15/2023,AI5980,IndiGo,HYD,CCU,123,No,Weather
3/13/2024,AI4422,AirAsia India,HYD,BOM,,Yes,
11/10/2023,AI3737,Air India,BLR,DEL,230,No,Operational
11/11/2023,AI2184,GoAir,PNQ,HYD,110,No,Technical
2/10/2023,AI7270,Vistara,BLR,BOM,144,No,Weather
6/24/2024,AI5420,SpiceJet,BLR,HYD,290,No,Air Traffic
7/6/2024,AI5001,GoAir,DEL,BLR,54,No,Air Traffic
8/9/2022,AI4622,SpiceJet,HYD,HYD,202,No,Operational
1/9/2023,AI1141,AirAsia India,HYD,DEL,34,No,Weather
11/29/2021,AI438,IndiGo,HYD,MAA,171,No,Operational
4/22/2020,AI5739,IndiGo,CCU,BLR,159,No,Weather
1/2/2020,AI4178,IndiGo,BLR,CCU,250,No,Technical
10/3/2021,AI1695,SpiceJet,MAA,BOM,55,No,Late Arrival
8/7/2020,AI6380,GoAir,BOM,DEL,170,No,Weather
5/8/2024,AI8233,IndiGo,PNQ,BLR,289,No,Late Arrival
5/4/2022,AI3231,GoAir,MAA,BLR,68,No,Weather
10/25/2024,AI5211,SpiceJet,PNQ,DEL,273,No,Technical
6/2/2023,AI5257,AirAsia India,DEL,CCU,213,No,Air Traffic
1/19/2021,AI7840,GoAir,DEL,CCU,148,No,Late Arrival
11/27/2023,AI5337,AirAsia India,PNQ,MAA,62,No,Operational
7/19/2024,AI7922,SpiceJet,HYD,PNQ,67,No,Weather
2/27/2023,AI532,SpiceJet,MAA,HYD,254,No,Air Traffic
12/12/2022,AI2226,Vistara,HYD,CCU,162,No,Weather
9/3/2024,AI332,SpiceJet,CCU,MAA,284,No,Operational
12/30/2021,AI6869,SpiceJet,DEL,HYD,10,No,Technical
8/22/2024,AI400,Air India,DEL,BLR,170,No,Crew
9/29/2024,AI5729,IndiGo,MAA,DEL,299,No,Weather
12/10/2023,AI1806,Vistara,DEL,CCU,36,No,Operational
9/3/2020,AI3762,Vistara,CCU,MAA,109,No,Crew
4/15/2022,AI6238,Vistara,CCU,BLR,90,No,Weather
1/2/2024,AI1302,Air India,CCU,CCU,297,No,Late Arrival
7/21/2020,AI5269,AirAsia India,BOM,BOM,,Yes,
4/22/2023,AI2405,SpiceJet,CCU,PNQ,253,No,Air Traffic
5/2/2020,AI1795,IndiGo,CCU,BLR,105,No,Air Traffic
2/4/2021,AI4595,GoAir,BOM,CCU,288,No,Operational
2/5/2022,AI5261,AirAsia India,HYD,BLR,270,No,Late Arrival
10/20/2020,AI740,SpiceJet,BLR,DEL,1,No,Technical
10/6/2020,AI6813,Air India,DEL,DEL,235,No,Crew
6/2/2022,AI6790,SpiceJet,CCU,PNQ,263,No,Operational
6/21/2024,AI2376,SpiceJet,DEL,DEL,242,No,Weather
7/16/2020,AI8382,Air India,MAA,HYD,163,No,Air Traffic
9/8/2022,AI9266,Vistara,DEL,BOM,286,No,Weather
3/14/2024,AI3842,Vistara,PNQ,DEL,60,No,Crew
1/21/2022,AI8778,IndiGo,HYD,BOM,73,No,Late Arrival
5/23/2020,AI1636,IndiGo,BOM,DEL,257,No,Late Arrival
8/31/2021,AI3483,Vistara,DEL,HYD,74,No,Operational
5/9/2023,AI1200,AirAsia India,DEL,BLR,294,No,Operational
2/21/2023,AI3662,GoAir,DEL,CCU,207,No,Late Arrival
7/5/2020,AI6368,SpiceJet,BLR,CCU,69,No,Operational
9/11/2023,AI8703,GoAir,BLR,DEL,54,No,Late Arrival
4/8/2021,AI3908,SpiceJet,MAA,CCU,188,No,Crew
10/4/2023,AI190,Vistara,BOM,DEL,176,No,Operational
11/29/2024,AI3149,IndiGo,DEL,DEL,201,No,Late Arrival
10/21/2021,AI1784,AirAsia India,DEL,PNQ,271,No,Operational
2/2/2022,AI3416,IndiGo,DEL,MAA,118,No,Weather
8/12/2022,AI7963,GoAir,DEL,MAA,54,No,Air Traffic
2/6/2021,AI3255,IndiGo,BLR,PNQ,224,No,Weather
10/1/2023,AI3777,Vistara,HYD,MAA,254,No,Technical
3/14/2024,AI8564,AirAsia India,HYD,BOM,161,No,Late Arrival
5/26/2020,AI4585,GoAir,MAA,MAA,5,No,Technical
3/17/2023,AI7043,AirAsia India,PNQ,DEL,119,No,Late Arrival
5/13/2022,AI6326,SpiceJet,CCU,HYD,222,No,Air Traffic
9/30/2024,AI5038,IndiGo,BOM,HYD,21,No,Operational
5/3/2021,AI1401,AirAsia India,HYD,BLR,129,No,Late Arrival
7/17/2022,AI5945,Air India,PNQ,MAA,247,No,Weather
7/21/2024,AI2057,IndiGo,DEL,HYD,28,No,Operational
7/4/2021,AI1709,SpiceJet,HYD,MAA,186,No,Air Traffic
12/3/2020,AI3355,AirAsia India,MAA,BLR,187,No,Weather
5/21/2022,AI5790,GoAir,CCU,HYD,96,No,Operational
10/2/2021,AI6893,SpiceJet,HYD,DEL,77,No,Late Arrival
12/7/2024,AI5756,Air India,MAA,BOM,101,No,Late Arrival
4/17/2021,AI5334,AirAsia India,BLR,PNQ,27,No,Weather
5/30/2020,AI5096,Vistara,CCU,PNQ,21,No,Crew
12/9/2023,AI3947,IndiGo,MAA,PNQ,183,No,Late Arrival
8/14/2023,AI8330,GoAir,PNQ,MAA,39,No,Crew
6/22/2024,AI7275,Vistara,HYD,HYD,102,No,Operational
9/19/2020,AI226,AirAsia India,BLR,HYD,144,No,Crew
11/22/2024,AI1588,AirAsia India,PNQ,BLR,151,No,Weather
5/23/2020,AI1268,SpiceJet,MAA,DEL,213,No,Technical
12/11/2020,AI5949,AirAsia India,MAA,CCU,194,No,Technical
9/15/2021,AI7503,GoAir,PNQ,HYD,6,No,Weather
10/13/2022,AI2318,Vistara,HYD,BOM,,Yes,
5/14/2024,AI4584,GoAir,CCU,BLR,255,No,Technical
5/30/2022,AI1876,Air India,BLR,HYD,51,No,Weather
1/2/2020,AI2625,Air India,DEL,HYD,245,No,Late Arrival
6/15/2022,AI4753,IndiGo,BOM,BLR,87,No,Crew
8/20/2023,AI9598,IndiGo,CCU,BLR,101,No,Technical
9/10/2020,AI8983,Air India,BLR,MAA,92,No,Late Arrival
8/2/2024,AI8394,AirAsia India,PNQ,HYD,9,No,Technical
3/28/2021,AI5882,GoAir,MAA,CCU,189,No,Operational
11/26/2022,AI4597,Air India,PNQ,BOM,25,No,Weather
3/29/2023,AI5135,IndiGo,BLR,DEL,58,No,Weather
10/11/2022,AI8000,Air India,PNQ,DEL,168,No,Late Arrival
1/9/2020,AI7756,AirAsia India,PNQ,CCU,78,No,Operational
6/10/2023,AI8565,Air India,BOM,BLR,132,No,Crew
1/27/2023,AI6930,GoAir,HYD,BLR,250,No,Operational
8/9/2024,AI1554,Vistara,BOM,BLR,87,No,Operational
3/26/2022,AI5062,AirAsia India,DEL,HYD,53,No,Air Traffic
7/26/2020,AI3836,IndiGo,DEL,BLR,128,No,Crew
2/28/2023,AI9816,GoAir,BOM,BLR,,Yes,
2/7/2021,AI2283,Air India,CCU,HYD,260,No,Crew
5/31/2020,AI8531,Air India,CCU,HYD,276,No,Operational
2/23/2020,AI8272,Vistara,PNQ,CCU,66,No,Technical
2/17/2023,AI1654,IndiGo,PNQ,MAA,122,No,Air Traffic
8/23/2024,AI5796,IndiGo,MAA,HYD,,Yes,
9/19/2021,AI6672,SpiceJet,DEL,BOM,77,No,Technical
8/9/2021,AI8661,IndiGo,MAA,BLR,251,No,Operational
7/6/2024,AI9804,Vistara,DEL,MAA,166,No,Technical
12/14/2023,AI1917,SpiceJet,BOM,DEL,241,No,Crew
12/16/2023,AI4424,SpiceJet,CCU,CCU,252,No,Crew
4/13/2020,AI4319,Air India,PNQ,MAA,264,No,Technical
9/10/2020,AI4024,Air India,CCU,HYD,139,No,Crew
6/4/2023,AI1507,IndiGo,BOM,BLR,17,No,Weather
2/9/2023,AI9335,SpiceJet,MAA,BLR,,Yes,
5/24/2021,AI3405,Air India,MAA,BLR,263,No,Crew
2/5/2024,AI8486,Vistara,BLR,MAA,156,No,Operational
4/8/2020,AI8972,Air India,PNQ,BLR,261,No,Late Arrival
6/1/2020,AI9827,AirAsia India,PNQ,HYD,166,No,Technical
7/2/2022,AI1060,AirAsia India,PNQ,MAA,,Yes,
5/27/2022,AI5104,Air India,DEL,BLR,135,No,Air Traffic
12/3/2020,AI2287,SpiceJet,MAA,DEL,84,No,Technical
9/25/2024,AI5671,SpiceJet,BOM,DEL,57,No,Crew
4/1/2022,AI3103,GoAir,MAA,BOM,231,No,Crew
4/1/2023,AI3041,AirAsia India,CCU,BLR,170,No,Late Arrival
10/9/2024,AI8927,Vistara,DEL,BLR,235,No,Late Arrival
8/14/2022,AI4127,SpiceJet,PNQ,MAA,252,No,Air Traffic
8/31/2024,AI3444,IndiGo,HYD,MAA,236,No,Operational
6/9/2020,AI2748,AirAsia India,BLR,PNQ,22,No,Weather
5/22/2024,AI8887,Vistara,DEL,BLR,237,No,Operational
3/11/2022,AI8512,Vistara,CCU,BOM,261,No,Air Traffic
2/1/2021,AI6229,SpiceJet,PNQ,BLR,102,No,Technical
7/24/2023,AI5237,Vistara,CCU,HYD,287,No,Crew
3/26/2022,AI273,SpiceJet,CCU,MAA,187,No,Operational
3/7/2024,AI4806,Air India,PNQ,BLR,188,No,Crew
11/16/2023,AI4618,AirAsia India,CCU,MAA,18,No,Crew
3/4/2023,AI8829,GoAir,BOM,BLR,231,No,Operational
5/3/2023,AI1017,Air India,BLR,CCU,224,No,Operational
2/4/2021,AI3431,AirAsia India,HYD,MAA,86,No,Late Arrival
10/1/2021,AI5156,SpiceJet,CCU,BOM,,Yes,
11/22/2022,AI9531,AirAsia India,CCU,CCU,198,No,Air Traffic
11/18/2021,AI4404,SpiceJet,MAA,HYD,88,No,Air Traffic
4/4/2021,AI6884,Air India,BLR,BLR,209,No,Weather
8/12/2022,AI5910,IndiGo,DEL,PNQ,256,No,Late Arrival
4/14/2021,AI2171,IndiGo,BLR,HYD,192,No,Weather
10/30/2023,AI782,AirAsia India,BLR,MAA,214,No,Operational
11/11/2022,AI3893,IndiGo,PNQ,CCU,239,No,Air Traffic
1/19/2022,AI2282,SpiceJet,PNQ,HYD,233,No,Air Traffic
8/20/2024,AI642,Vistara,PNQ,BOM,121,No,Weather
2/7/2020,AI1105,SpiceJet,HYD,PNQ,67,No,Technical
